"di_id","year","budget.type","l1","l2","l3","l4","l5","l6","value","magnitude","child.value.sum","absdiff"
"NE",2007,"actual","total-revenue-and-grants","grants",,,,,14.65,1e+10,19.7,5.05
"MG",2008,"actual","financing","net-external-finance",,,,,4.783,1e+11,9.829,5.046
"NE",2004,"actual","total-revenue-and-grants","grants",,,,,8.92,1e+10,13.86,4.94
"MR",2015,"actual","financing","net-external-finance","other",,,,5.23,1e+07,10.1,4.87
"NG",2019,"proj","total-revenue-and-grants","revenue","oil-revenue",,,,5.442,1e+12,0.597,4.845
"JO",2006,"actual","total-revenue-and-grants","revenue","nontax-revenue",,,,9.87,1e+08,5.03,4.84
"HN",2003,"actual","financing","domestic-financing",,,,,0.428454,1e+09,5.141448,4.712994
"NG",2018,"proj","total-revenue-and-grants","revenue","oil-revenue",,,,5.345,1e+12,0.633,4.712
"FM",2009,"actual","total-expenditure","recurrent-expenditure",,,,,13.14,1e+07,17.81,4.67
"ZM",2017,"proj","total-expenditure","capital-expenditure",,,,,11.175,1e+09,6.564,4.611
"ZM",2017,"proj","total-expenditure",,,,,,59.801,1e+09,64.412,4.61099999999999
"MR",2014,"actual","financing","net-external-finance","other",,,,4.93,1e+07,9.53,4.6
"BF",2017,"actual","financing",,,,,,0,1e+11,4.44,4.44
"MG",2014,"actual","financing","net-external-finance",,,,,3.1,1e+11,7.53,4.43
"HN",2008,"actual","financing",,,,,,6.442,1e+09,10.759,4.317
"NG",2010,"actual","total-expenditure","extrabudgetary-funds",,,,,8.12,1e+11,3.81,4.31
"FM",2004,"actual","total-expenditure","recurrent-expenditure",,,,,12.73,1e+07,17,4.27
"SB",2003,"actual","total-expenditure","recurrent-expenditure",,,,,37.55,1e+07,33.28,4.27
"DJ",2001,"actual","total-revenue-and-grants","grants",,,,,5.072,1e+09,0.876,4.196
"NG",2002,"actual","total-expenditure","federal-government-expenditure","federal-government-recurrent-expenditure",,,,11.09,1e+11,15.28,4.19
"BI",2008,"actual","total-revenue-and-grants","grants",,,,,51.829875,1e+10,47.683485,4.14639
"HN",2013,"actual","financing",,,,,,29.7435,1e+09,33.885,4.1415
"TD",2007,"actual","financing","net-external-finance",,,,,2.13,1e+10,6.21,4.08
"BI",2007,"actual","total-revenue-and-grants","grants",,,,,22.15,1e+10,18.07,4.08
"GM",2020,"proj","financing",,,,,,0.728,1e+09,4.794,4.066
"TJ",2016,"actual","financing",,,,,,5.501571,1e+09,1.525188,3.976383
"BF",2018,"proj","financing",,,,,,0,1e+11,3.96,3.96
"AZ",2016,"proj","financing",,,,,,5.452,1e+09,1.507,3.945
"ve",2008,"proj","total-expenditure","current-expenditure",,,,,13.3847546,1e+10,17.2691540287,3.8843994287
"ve",2008,"proj","total-expenditure",,,,,,17.269154025,1e+10,13.3847546,3.884399425
"ve",2009,"proj","total-expenditure","current-expenditure",,,,,14.59743706,1e+10,18.4161338936,3.8186968336
"ve",2009,"proj","total-expenditure",,,,,,18.416133891,1e+10,14.59743706,3.818696831
"CM",2004,"actual","total-expenditure","recurrent-expenditure","goods-and-services",,,,4.14,1e+11,0.33,3.81
"GM",2020,"proj","financing","net-external-finance",,,,,0.214,1e+09,3.904,3.69
"BI",2006,"actual","total-revenue-and-grants","grants",,,,,16.9,1e+10,13.23,3.67
"HN",2000,"actual","financing","domestic-financing",,,,,0.53327,1e+09,4.159506,3.626236
"HN",2012,"actual","financing","domestic-financing",,,,,15.567892,1e+09,11.947452,3.62044
"HN",2012,"actual","financing",,,,,,21.360596,1e+09,24.981036,3.62044
"AO",2012,"actual","financing","net-external-finance",,,,,-1.43,1e+11,2.18,3.61
"GM",2020,"proj","financing",,,,,,1.207,1e+09,4.794,3.587
"BI",2011,"actual","total-expenditure","capital-expenditure",,,,,4.632,1e+11,1.047,3.585
"ZM",2014,"actual","total-expenditure","capital-expenditure",,,,,6.21,1e+09,2.66,3.55
"SB",2001,"actual","total-expenditure","recurrent-expenditure",,,,,39.54,1e+07,36.01,3.53
"NE",2009,"actual","total-revenue-and-grants","grants",,,,,11.09,1e+10,14.62,3.53
"BI",2008,"actual","financing","net-external-finance",,,,,-1.520343,1e+10,1.934982,3.455325
"MV",2012,"actual","financing","net-external-finance",,,,,-0.13,1e+09,3.278,3.408
"JO",2000,"actual","total-revenue-and-grants","revenue","nontax-revenue",,,,5.89,1e+08,2.5,3.39
"GM",2020,"proj","financing",,,,,,1.413,1e+09,4.794,3.381
"GE",2004,"actual","total-revenue-and-grants",,,,,,21.659,1e+08,25.03,3.371
"HN",2011,"actual","financing","domestic-financing",,,,,-0.509,1e+09,2.861,3.37
"ZM",2016,"actual","total-expenditure","capital-expenditure",,,,,8.157,1e+09,4.8,3.357
"ZM",2016,"actual","total-expenditure",,,,,,51.713,1e+09,55.069,3.356
"GM",2020,"proj","financing",,,,,,1.446,1e+09,4.794,3.348
"JO",2002,"actual","total-revenue-and-grants","revenue","nontax-revenue",,,,6.67,1e+08,3.35,3.32
"JO",2005,"actual","total-revenue-and-grants","revenue","nontax-revenue",,,,7.56,1e+08,4.24,3.32
"JO",2004,"actual","total-revenue-and-grants","revenue","nontax-revenue",,,,6.5,1e+08,3.24,3.26
"ZM",2018,"proj","total-expenditure","capital-expenditure",,,,,5.166,1e+09,8.391,3.225
"JO",2001,"actual","total-revenue-and-grants","revenue","nontax-revenue",,,,6.33,1e+08,3.13,3.2
"CM",2005,"actual","total-expenditure","recurrent-expenditure","goods-and-services",,,,3.37,1e+11,0.22,3.15
"CM",2002,"actual","financing","net-external-finance","drawings",,,,4.04,1e+11,0.93,3.11
"JO",2003,"actual","total-revenue-and-grants","revenue","nontax-revenue",,,,5.82,1e+08,2.72,3.1
"ve",2015,"proj","total-expenditure","current-expenditure",,,,,11.9,1e+11,14.99240941,3.09240941
"FM",2001,"actual","total-expenditure","recurrent-expenditure",,,,,12.63,1e+07,15.72,3.09
"ve",2015,"proj","total-expenditure",,,,,,14.97,1e+11,11.9,3.07
"NE",2008,"actual","total-expenditure","capital-expenditure","externally-financed",,,,13.68,1e+10,10.63,3.05
"BF",2021,"proj","financing",,,,,,0,1e+11,3.04,3.04
"NE",2007,"actual","total-expenditure","capital-expenditure","externally-financed",,,,14.91,1e+10,11.9,3.01
"MG",2013,"actual","financing","net-external-finance",,,,,2.34,1e+11,5.31,2.97
"NE",2023,"proj","total-revenue-and-grants","grants",,,,,4.395,1e+11,7.317,2.922
"ve",2010,"proj","total-expenditure","current-expenditure",,,,,19.4866261,1e+10,22.3880818,2.9014557
"ve",2010,"proj","total-expenditure",,,,,,22.3880818,1e+10,19.4866261,2.9014557
"TJ",2018,"proj","financing","net-external-finance",,,,,3.313776,1e+09,0.414222,2.899554
"NG",2017,"actual","total-revenue-and-grants","revenue","oil-revenue",,,,3.02,1e+12,0.146,2.874
"ZM",2015,"actual","total-expenditure","capital-expenditure",,,,,7.529,1e+09,4.664,2.865
"ve",2007,"proj","total-expenditure","current-expenditure",,,,,9.73132882,1e+10,12.5937256806,2.8623968606
"ve",2007,"proj","total-expenditure",,,,,,12.59372568,1e+10,9.73132882,2.86239686
"HN",2002,"actual","financing","domestic-financing",,,,,0.904169,1e+09,3.745843,2.841674
"LR",2012,"actual","total-expenditure","capital-expenditure",,,,,7.64,1e+07,10.47,2.83
"BF",2020,"proj","financing",,,,,,0,1e+11,2.81,2.81
"VN",2010,"actual","financing","net-external-finance",,,,,8.9,1e+13,6.1,2.8
"TD",2018,"proj","total-expenditure",,,,,,91.9,1e+10,89.1,2.8
"MR",2016,"actual","financing","net-external-finance","other",,,,2.96,1e+07,5.74,2.78
"NE",2020,"proj","total-revenue-and-grants","grants",,,,,4.688,1e+11,7.467,2.779
"TN",2016,"actual","financing","net-external-finance",,,,,2.479,1e+09,5.243,2.764
"ZM",2016,"actual","financing","net-external-finance",,,,,3.005,1e+09,5.756,2.751
"GY",2020,"proj","total-expenditure","capital-expenditure",,,,,9.68,1e+10,12.42,2.74
"MG",2021,"proj","financing","net-external-finance",,,,,2.160642,1e+12,4.889874,2.729232
"ve",2016,"proj","total-expenditure","current-expenditure",,,,,12.72544173,1e+11,15.4516708,2.72622907
"ve",2016,"proj","total-expenditure",,,,,,15.4516708,1e+11,12.72544173,2.72622907
"NE",2010,"actual","total-revenue-and-grants","grants",,,,,13.01,1e+10,15.73,2.72
